task_size,current_edge_queue_time,current_leo_latency,chosen_node,total_experienced_latency
9.056001908579852,8.25,196.74067409804871,edge,8.073010806781213
12.903803169993799,8.25,193.32647121616893,edge,5.620948528965528
42.37126788053288,2.75,187.17856282515848,edge,4.993969738183068
26.683152344318355,2.75,180.81263126360258,edge,3.6882155349876484
20.24218642108488,0.0,173.81341616554656,edge,2.034218642108499
11.334065675264721,2.75,172.03932904590144,edge,2.289889233913641
37.58975204339832,0.0,163.1950776428111,edge,3.7689752043397675
41.206443980925286,0.0,152.68004567671682,edge,4.1306443980925
5.626339479540553,2.75,142.74978411867866,edge,0.8212324402796867
35.27727718431891,0.0,135.08389751834144,edge,3.5377277184319382
42.00877855520484,2.75,126.13331121709385,edge,4.484925298995904
15.521985599521242,2.75,121.03299234922582,edge,4.212085552350345
30.26333220124455,5.5,118.69891418991274,edge,6.407877865345881
7.844766852208795,5.5,112.59330370720855,edge,5.028252950344722
18.59855785381626,5.5,100.65568395080534,edge,2.6599458204426583
47.58176897968758,2.75,95.27848425095691,edge,5.498791680889667
9.373639937981972,2.75,87.04863310002312,edge,3.4582818177532317
25.413969060000166,5.5,81.87930616839122,edge,4.092686577634254
47.56883386007444,2.75,72.07824413352142,edge,5.120149599072192
11.953530608442577,2.75,62.80343829310276,edge,2.5886956156205088
27.020616700532653,2.75,58.5545526151356,edge,3.4936923815421324
6.47223290847711,0.0,48.9642290178231,edge,0.6572232908476963
47.77498264331421,0.0,43.332353617628044,edge,4.7874982643313615
35.855611946657845,2.75,40.025244248939075,edge,6.574995585178726
21.140322854554306,2.75,32.8449560344184,edge,4.255500282278035
10.497187358926869,5.5,29.99758413169237,edge,3.235793331687546
34.82459321278901,2.75,26.616686746922355,edge,3.854100547254916
5.961085463136678,2.75,23.565957932512376,edge,1.1587712150098923
10.66657483886193,0.0,22.021746710869078,edge,1.0766574838861516
39.4320819149863,0.0,21.13197701137423,edge,3.9532081914986748
5.668714725381898,11.0,20.15684219991369,leo,0.13353113670746097
44.136294204629515,2.75,20.374790608006165,edge,6.218983556205558
38.37731256293673,11.0,20.868128253849193,leo,0.7884143795125738
45.523896603429115,2.75,20.041209412107293,edge,8.828710676724086
11.51095911442286,5.5,20.000976113106123,edge,9.164762912338347
12.852370440562705,8.25,20.004054460251623,edge,9.99960743835777
19.56971578829101,8.25,20.743115237187904,edge,8.165443749556857
26.43106844404626,8.25,22.942349234605633,edge,6.740115358142816
9.907430450173049,5.5,25.51534346232666,edge,4.691144530332622
6.951426660462727,2.75,30.51099314536949,edge,1.050040267468603
28.465304662088784,0.0,36.592584379042876,edge,2.856530466208824
7.737143337252762,0.0,44.45226497604226,edge,0.7837143337252428
35.87438732280047,0.0,49.92311711997354,edge,3.597438732280011
8.307082209490272,0.0,59.32985945873247,edge,0.8407082209490682
7.955700499405126,2.75,60.894690637102784,edge,0.9712998167094611
29.676039532176226,0.0,69.21357290606977,edge,2.9776039532175673
28.875057684409605,0.0,80.88151776778089,edge,2.897505768440965
9.46303077555689,0.0,89.89560668389453,edge,0.9563030775557309
34.29124991965874,0.0,101.21334925687118,edge,3.439124991965855
14.676037984737361,0.0,111.55478398465416,edge,1.4776037984737513
20.251922847582883,0.0,117.72464674057784,edge,2.0351922847582955
9.278862767403389,0.0,125.42729512573773,edge,0.9378862767403007
21.84354605459916,0.0,135.05134177977052,edge,2.194354605459921
8.02099886614915,2.75,137.36068768727893,edge,2.1426634706341474
9.345399465460353,2.75,142.10922820995916,edge,1.2975131120691685
30.036683102690755,0.0,152.2322842292868,edge,3.013668310269054
19.834069163729225,0.0,159.9595640345602,edge,1.9934069163729191
34.94032340013119,2.75,161.157540945721,edge,4.975280408605727
37.447730543576725,2.75,170.25398691014638,edge,4.615777016356219
20.824078356191706,2.75,176.85131695968937,edge,3.3969545783013473
34.553133634466846,2.75,180.7452060161587,edge,4.714051524731985
43.04180383706053,2.75,183.81636610435083,edge,7.193576762656221
30.834500194915822,2.75,189.40700279659538,edge,6.489209886337221
48.85459709565687,2.75,194.12589053421345,edge,7.339204111917866
33.92146237234241,2.75,197.01338481740862,edge,7.390630507545666
